37	-3.23819	-3.40224	-0.01356	-0.01506	 0.01022	 0.01623	-0.00580	 0.00140	-0.00070	-0.00202	-0.00131	 0.00025
38	-2.86178	-3.01436	-0.01385	-0.01543	 0.00973	 0.01569	-0.00504	 0.00189	-0.00109	-0.00234	-0.00131	-0.00035
39	-2.50364	-2.64236	-0.01399	-0.01564	 0.00920	 0.01506	-0.00432	 0.00229	-0.00142	-0.00260	-0.00134	-0.00083
40	-2.15966	-2.28226	-0.01398	-0.01567	 0.00862	 0.01432	-0.00363	 0.00260	-0.00169	-0.00279	-0.00139	-0.00119
41	-1.84460	-1.95002	-0.01382	-0.01550	 0.00800	 0.01350	-0.00301	 0.00282	-0.00189	-0.00289	-0.00144	-0.00144
42	-1.55311	-1.64071	-0.01349	-0.01514	 0.00735	 0.01261	-0.00244	 0.00294	-0.00202	-0.00292	-0.00148	-0.00161
43	-1.28611	-1.35607	-0.01301	-0.01456	 0.00667	 0.01163	-0.00194	 0.00297	-0.00208	-0.00288	-0.00149	-0.00169
44	-1.03540	-1.08810	-0.01233	-0.01374	 0.00594	 0.01054	-0.00148	 0.00291	-0.00208	-0.00277	-0.00147	-0.00171
45	-0.81983	-0.85773	-0.01151	-0.01273	 0.00521	 0.00942	-0.00110	 0.00276	-0.00200	-0.00259	-0.00142	-0.00166
46	-0.62959	-0.65524	-0.01052	-0.01150	 0.00446	 0.00824	-0.00078	 0.00254	-0.00187	-0.00234	-0.00133	-0.00155
47	-0.46425	-0.48112	-0.00934	-0.01007	 0.00371	 0.00701	-0.00052	 0.00225	-0.00167	-0.00205	-0.00122	-0.00138
48	-0.32232	-0.33638	-0.00798	-0.00845	 0.00295	 0.00574	-0.00032	 0.00189	-0.00142	-0.00172	-0.00109	-0.00115
49	-0.20411	-0.21971	-0.00642	-0.00666	 0.00220	 0.00443	-0.00017	 0.00149	-0.00113	-0.00135	-0.00091	-0.00089
50	-0.11324	-0.11989	-0.00457	-0.00465	 0.00147	 0.00301	-0.00005	 0.00101	-0.00078	-0.00094	-0.00068	-0.00060
51	-0.04808	-0.05069	-0.00258	-0.00258	 0.00086	 0.00153	 0.00032	 0.00022	-0.00042	-0.00052	-0.00039	-0.00033
52	-0.00517	-0.00526	-0.00038	-0.00038	 0.00014	 0.00020	 0.00009	-0.00001	-0.00006	-0.00008	-0.00006	-0.00005
53	 0.01697	 0.01756	 0.00198	 0.00196	-0.00062	-0.00106	-0.00038	-0.00003	 0.00030	 0.00037	 0.00030	 0.00024
54	 0.01529	 0.02373	 0.00449	 0.00443	-0.00116	-0.00250	-0.00022	-0.00068	 0.00068	 0.00078	 0.00067	 0.00056
55	-0.00727	 0.01345	 0.00713	 0.00705	-0.00170	-0.00386	-0.00020	-0.00118	 0.00108	 0.00114	 0.00102	 0.00090
56	-0.04910	-0.01474	 0.00996	 0.00993	-0.00225	-0.00521	-0.00023	-0.00161	 0.00148	 0.00145	 0.00136	 0.00131
57	-0.10525	-0.05701	 0.01274	 0.01285	-0.00273	-0.00645	-0.00027	-0.00197	 0.00185	 0.00170	 0.00167	 0.00171
58	-0.17511	-0.11234	 0.01555	 0.01593	-0.00317	-0.00764	-0.00030	-0.00225	 0.00220	 0.00188	 0.00199	 0.00210
59	-0.25679	-0.17900	 0.01836	 0.01915	-0.00355	-0.00877	-0.00031	-0.00246	 0.00251	 0.00197	 0.00231	 0.00248
60	-0.34834	-0.25524	 0.02123	 0.02242	-0.00386	-0.00983	-0.00029	-0.00258	 0.00279	 0.00198	 0.00262	 0.00285
61	-0.45181	-0.34274	 0.02441	 0.02572	-0.00414	-0.01085	-0.00025	-0.00262	 0.00304	 0.00188	 0.00294	 0.00320
62	-0.55756	-0.43325	 0.02760	 0.02881	-0.00434	-0.01174	-0.00016	-0.00255	 0.00324	 0.00166	 0.00324	 0.00352
63	-0.66745	-0.52824	 0.03082	 0.03189	-0.00449	-0.01253	-0.00004	-0.00238	 0.00342	 0.00132	 0.00353	 0.00381
64	-0.77967	-0.62609	 0.03403	 0.03496	-0.00460	-0.01323	 0.00013	-0.00211	 0.00356	 0.00084	 0.00381	 0.00407
65	-0.89254	-0.72527	 0.03721	 0.03799	-0.00466	-0.01381	 0.00035	-0.00174	 0.00360	 0.00031	 0.00408	 0.00430
66	-1.00443	-0.82431	 0.04034	 0.04099	-0.00468	-0.01429	 0.00061	-0.00126	 0.00302	 0.00022	 0.00434	 0.00449
67	-1.11797	-0.92555	 0.04352	 0.04404	-0.00465	-0.01466	 0.00094	-0.00065	 0.00153	 0.00085	 0.00460	 0.00466
68	-1.22331	-1.02014	 0.04649	 0.04690	-0.00459	-0.01491	 0.00130	 0.00002	 0.00019	 0.00120	 0.00484	 0.00477
69	-1.32343	-1.11070	 0.04936	 0.04966	-0.00450	-0.01505	 0.00172	 0.00079	-0.00097	 0.00123	 0.00507	 0.00486
70	-1.41718	-1.19616	 0.05210	 0.05231	-0.00436	-0.01510	 0.00220	 0.00162	-0.00208	 0.00106	 0.00528	 0.00492
71	-1.50354	-1.27554	 0.05471	 0.05482	-0.00419	-0.01505	 0.00276	 0.00248	-0.00319	 0.00077	 0.00546	 0.00496
72	-1.58162	-1.34802	 0.05715	 0.05720	-0.00399	-0.01491	 0.00348	 0.00327	-0.00431	 0.00041	 0.00560	 0.00500
73	-1.65313	-1.41518	 0.05951	 0.05949	-0.00374	-0.01469	 0.00462	 0.00380	-0.00551	-0.00004	 0.00571	 0.00504
74	-1.71215	-1.47143	 0.06158	 0.06152	-0.00346	-0.01441	 0.00592	 0.00416	-0.00668	-0.00052	 0.00578	 0.00508
75	-1.76101	-1.51893	 0.06344	 0.06335	-0.00316	-0.01406	 0.00715	 0.00465	-0.00785	-0.00104	 0.00581	 0.00512
