37	 108.79028	 109.09081	-0.16491	-0.12553	-0.17024	-0.13588	 0.20113	 0.24973	-0.12204	-0.16716	-0.46647	 0.24256	
38	 105.66420	 105.95689	-0.10454	-0.06540	-0.20041	-0.16835	 0.18397	 0.22770	-0.09793	-0.14162	-0.38319	 0.19247	
39	 101.67083	 101.95436	-0.04072	-0.00177	-0.22972	-0.20010	 0.16466	 0.20353	-0.07250	-0.11454	-0.28622	 0.13021	
40	 96.80463	 97.07934	 0.02737	 0.06606	-0.25843	-0.23138	 0.14323	 0.17718	-0.04573	-0.08584	-0.20586	 0.08621	
41	 91.34683	 91.61611	 0.09670	 0.13484	-0.28515	-0.26065	 0.12096	 0.15017	-0.01914	-0.05711	-0.14592	 0.06240	
42	 85.31008	 85.58123	 0.16805	 0.20512	-0.31017	-0.28820	 0.09796	 0.12253	 0.00727	-0.02832	-0.09960	 0.05211	
43	 78.79140	 79.07781	 0.24092	 0.27623	-0.33325	-0.31372	 0.07476	 0.09481	 0.03296	-0.00001	-0.06261	 0.05056	
44	 71.61312	 71.94053	 0.31761	 0.35022	-0.35492	-0.33777	 0.05101	 0.06650	 0.05835	 0.02837	-0.03111	 0.05470	
45	 64.39793	 64.80915	 0.39181	 0.42104	-0.37338	-0.35830	 0.02902	 0.04024	 0.08105	 0.05421	-0.00571	 0.06206	
46	 56.95924	 57.54343	 0.46562	 0.49099	-0.38933	-0.37602	 0.00843	 0.01543	 0.10156	 0.07813	 0.01588	 0.07124	
47	 49.32011	 50.30341	 0.53825	 0.55969	-0.40264	-0.39072	-0.01022	-0.00750	 0.11946	 0.09972	 0.03462	 0.08093	
48	 41.26784	 43.47615	 0.60898	 0.62677	-0.41324	-0.40225	-0.02634	-0.02828	 0.13435	 0.11862	 0.05231	 0.08899	
49	 33.42809	 36.60028	 0.67734	 0.69167	-0.42100	-0.41055	-0.03905	-0.04700	 0.14593	 0.13452	 0.07092	 0.09318	
50	 26.72971	 28.35436	 0.74551	 0.75598	-0.42536	-0.41634	-0.04592	-0.06628	 0.15422	 0.14748	 0.08778	 0.09665	
51	 20.10469	 21.05843	 0.80822	 0.81424	-0.42503	-0.42015	-0.07670	-0.05384	 0.15877	 0.15599	 0.09879	 0.10180	
52	 13.82976	 14.00243	 0.86756	 0.86848	-0.42185	-0.42067	-0.07030	-0.07147	 0.16030	 0.15999	 0.10646	 0.10684	
53	 7.98827	 7.21668	 0.92288	 0.91859	-0.41352	-0.42036	-0.06265	-0.08297	 0.15815	 0.15997	 0.11236	 0.11016	
