     0    -0.00000003     0.00000026     0.00000001    -0.00000000     0.00000000     0.00000002     0.00000000     0.00000001     0.00000001    -0.00000018     0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000    -0.00000000
     1     1.44906655     1.42376560     0.00437227     0.00986264     0.00305587     0.00368651     0.00852685     0.00259721     0.81241949     0.80338918     0.00975732    -0.00039767     0.00980981    -0.02326222     0.00229166     0.00859164    -0.00316229     0.00920366    -0.03074455     0.00283852
     2     2.88441001     2.83254813     0.00879489     0.01964281     0.00595396     0.00730743     0.01693964     0.00538980     1.62075998     1.60176499     0.01949201    -0.00079704     0.01965512    -0.04791881     0.00597237     0.01716321    -0.00632662     0.01845919    -0.06664685     0.01083502
     3     4.29356959     4.21410615     0.01330335     0.02926414     0.00874527     0.01089208     0.02516477     0.00842245     2.42151023     2.39162293     0.02918856    -0.00120156     0.02959784    -0.07457526     0.01160698     0.02568676    -0.00949984     0.02785503    -0.10909479     0.02533221
     4     5.65530491     5.54761462     0.01789978     0.03858922     0.01146114     0.01444407     0.03307794     0.01171322     3.20594494     3.16431806     0.03876929    -0.00161210     0.03963297    -0.10345308     0.01951475     0.03407876    -0.01266784     0.03741656    -0.15579970     0.04417986
     5     6.96678938     6.83030069     0.02264210     0.04760522     0.01416538     0.01801024     0.04066183     0.01531606     3.97566662     3.92137897     0.04828396    -0.00203496     0.04988639    -0.13491135     0.02987646     0.04236634    -0.01585807     0.04729428    -0.20434812     0.06473591
     6     8.20393497     8.03860421     0.02750527     0.05615143     0.01687177     0.02157397     0.04777560     0.01921905     4.71952887     4.65178760     0.05762685    -0.00246947     0.06031558    -0.16856900     0.04247893     0.05043990    -0.01904540     0.05747722    -0.25267435     0.08516514
     7     9.35517688     9.16125484     0.03249394     0.06415023     0.01960888     0.02514160     0.05435069     0.02342540     5.43303661     5.35108713     0.06677339    -0.00291805     0.07095744    -0.20407799     0.05696998     0.05826068    -0.02223028     0.06802873    -0.30022017     0.10491050
     8    10.41682969    10.19467087     0.03763852     0.07157631     0.02241478     0.02873589     0.06036222     0.02795753     6.11621596     6.01924529     0.07575929    -0.00338584     0.08191931    -0.24122757     0.07299639     0.06584020    -0.02543368     0.07908269    -0.34726921     0.12407355
     9    11.38070503    11.13086917     0.04294586     0.07837069     0.02530965     0.03235979     0.06575741     0.03281687     6.76615990     6.65333744     0.08458754    -0.00387638     0.09327704    -0.27967911     0.09014651     0.07315949    -0.02866547     0.09074442    -0.39409716     0.14284006
