22	 25.11832	 24.70416	 1.00117	-0.31157	 1.45667	 1.13090	-0.44610	 1.05034	 27.08034	 26.17260	 0.83202	-0.23278	-0.75218	 0.07639	-0.02751	 0.87814	-0.62459	-0.43663	-0.05359	 0.09873	
23	 6.31059	 6.22467	 0.82448	-0.42391	 1.26070	 0.96034	-0.54208	 0.87629	 18.79125	 18.03951	 0.80608	-0.19260	-0.68603	 0.09819	-0.01649	 0.85800	-0.62779	-0.42984	-0.05861	 0.10870	
24	-11.51303	-11.28767	 0.63894	-0.53038	 1.05235	 0.78053	-0.63189	 0.69301	 10.71573	 10.11738	 0.76604	-0.15014	-0.60861	 0.11888	-0.00572	 0.82446	-0.62468	-0.41358	-0.06238	 0.11735	
25	-28.26006	-27.74193	 0.44550	-0.63014	 0.83297	 0.59250	-0.71485	 0.50161	 2.92429	 2.47514	 0.71215	-0.10547	-0.52054	 0.13830	 0.00469	 0.77679	-0.61440	-0.38784	-0.06484	 0.12457	
26	-43.85358	-43.06246	 0.24533	-0.72237	 0.60415	 0.39750	-0.79030	 0.30333	-4.51582	-4.82153	 0.64494	-0.05862	-0.42277	 0.15631	 0.01462	 0.71436	-0.59587	-0.35292	-0.06598	 0.13024	
27	-58.05114	-57.01102	 0.04251	-0.80529	 0.37085	 0.19961	-0.85685	 0.10233	-11.45252	-11.62372	 0.56641	-0.01034	-0.31796	 0.17257	 0.02384	 0.63767	-0.56824	-0.31001	-0.06582	 0.13420	
28	-71.18567	-69.91470	-0.16685	-0.88047	 0.12880	-0.00486	-0.91572	-0.10524	-18.01469	-18.05803	 0.47559	 0.04055	-0.20477	 0.18738	 0.03250	 0.54399	-0.52917	-0.25882	-0.06437	 0.13648	
29	-83.02844	-81.54878	-0.37838	-0.94614	-0.11678	-0.21158	-0.96549	-0.31504	-24.05730	-23.98236	 0.37490	 0.09328	-0.08627	 0.20043	 0.04037	 0.43336	-0.47695	-0.20100	-0.06166	 0.13697	
30	-93.56240	-91.89657	-0.59027	-1.00181	-0.36363	-0.41870	-1.00576	-0.52532	-29.53865	-29.35587	 0.26604	 0.14765	 0.03564	 0.21163	 0.04737	 0.30454	-0.40902	-0.13787	-0.05775	 0.13562	
31	-102.78410	-100.95474	-0.80060	-1.04708	-0.60940	-0.62430	-1.03619	-0.73424	-34.42585	-34.14622	 0.15094	 0.20339	 0.15889	 0.22091	 0.05345	 0.15570	-0.32212	-0.07091	-0.05273	 0.13243	
32	-110.70282	-108.73244	-1.00740	-1.08161	-0.85170	-0.82640	-1.05651	-0.93994	-38.69526	-38.33006	 0.03171	 0.26017	 0.28132	 0.22821	 0.05855	-0.01586	-0.21206	-0.00172	-0.04670	 0.12744	
33	-117.33959	-115.25043	-1.20865	-1.10521	-1.08812	-1.02302	-1.06655	-1.14052	-42.33284	-41.89324	-0.08940	 0.31760	 0.40073	 0.23351	 0.06267	-0.21412	-0.07333	 0.06807	-0.03976	 0.12069	
34	-122.72623	-120.54002	-1.40238	-1.11776	-1.31632	-1.21221	-1.06625	-1.33411	-45.33407	-44.83089	-0.21009	 0.37520	 0.51495	 0.23678	 0.06581	-0.44488	 0.10129	 0.13685	-0.03206	 0.11229	
35	-126.90427	-124.64210	-1.58664	-1.11927	-1.53400	-1.39208	-1.05563	-1.51887	-47.70377	-47.14716	-0.32804	 0.43241	 0.62193	 0.23803	 0.06798	-0.71637	 0.32143	 0.20308	-0.02372	 0.10236	
36	-129.98821	-127.66914	-1.76397	-1.10945	-1.74422	-1.56512	-1.03414	-1.69747	-49.49351	-48.89166	-0.44393	 0.49009	 0.72219	 0.23722	 0.06926	-1.04954	 0.60812	 0.26691	-0.01466	 0.09073	
37	-131.87901	-129.52403	-1.92351	-1.08904	-1.93414	-1.72076	-1.00313	-1.85905	-50.63386	-49.99620	-0.54966	 0.54463	 0.80886	 0.23445	 0.06964	-1.44350	 0.96393	 0.32381	-0.00551	 0.07818	
38	-132.73511	-130.36241	-2.06840	-1.05828	-2.10752	-1.86210	-0.96255	-2.00679	-51.20800	-50.54149	-0.64641	 0.59685	 0.88323	 0.22976	 0.06925	-1.92686	 1.41697	 0.37440	 0.00379	 0.06463	
39	-132.62629	-130.25287	-2.19725	-1.01759	-2.26276	-1.98784	-0.91286	-2.13931	-51.25138	-50.56180	-0.73257	 0.64608	 0.94416	 0.22323	 0.06816	-2.52427	 1.99252	 0.41784	 0.01307	 0.05029	
40	-131.62668	-129.26829	-2.30889	-0.96754	-2.39852	-2.09688	-0.85464	-2.25540	-50.80464	-50.09662	-0.80683	 0.69170	 0.99086	 0.21495	 0.06649	-3.25803	 2.71322	 0.45350	 0.02218	 0.03540	
41	-129.81378	-127.48485	-2.40236	-0.90876	-2.51369	-2.18833	-0.78857	-2.35401	-49.91244	-49.18958	-0.86824	 0.73311	 1.02284	 0.20502	 0.06432	-4.12752	 3.57861	 0.48096	 0.03095	 0.02018	
42	-127.26746	-124.98104	-2.47693	-0.84200	-2.60747	-2.26155	-0.71544	-2.43435	-48.62230	-47.88735	-0.91622	 0.76983	 1.03996	 0.19356	 0.06178	-5.05496	 4.51086	 0.50001	 0.03922	 0.00487	
43	-124.06905	-121.83683	-2.53214	-0.76807	-2.67930	-2.31612	-0.63609	-2.49579	-46.98355	-46.23861	-0.95054	 0.80148	 1.04238	 0.18069	 0.05895	-5.77447	 5.24381	 0.51062	 0.04685	-0.01029	
44	-120.30040	-118.13270	-2.56777	-0.68786	-2.72895	-2.35189	-0.55148	-2.53799	-45.04624	-44.29296	-0.97137	 0.82782	 1.03051	 0.16657	 0.05594	-5.71012	 5.20114	 0.51294	 0.05369	-0.02507	
45	-116.04313	-113.94887	-2.58382	-0.60233	-2.75643	-2.36891	-0.46260	-2.56079	-42.86017	-42.09999	-0.97919	 0.84871	 1.00505	 0.15135	 0.05284	-4.15349	 3.67386	 0.50725	 0.05963	-0.03925	
46	-111.37773	-109.36450	-2.58056	-0.51248	-2.76204	-2.36748	-0.37049	-2.56429	-40.47411	-39.70841	-0.97479	 0.86420	 0.96689	 0.13518	 0.04974	-1.11964	 0.67635	 0.49398	 0.06455	-0.05264	
47	-106.38287	-104.45695	-2.55849	-0.41934	-2.74635	-2.34810	-0.27624	-2.54881	-37.93497	-37.16526	-0.95925	 0.87443	 0.91710	 0.11825	 0.04673	 2.10078	-2.50150	 0.47362	 0.06837	-0.06505	
48	-101.13473	-99.30110	-2.51831	-0.32398	-2.71016	-2.31148	-0.18096	-2.51490	-35.28727	-34.51525	-0.93381	 0.87970	 0.85686	 0.10072	 0.04386	 4.17990	-4.53265	 0.44677	 0.07100	-0.07630	
49	-95.70632	-93.96876	-2.46094	-0.22746	-2.65449	-2.25853	-0.08574	-2.46332	-32.57259	-31.80021	-0.89990	 0.88037	 0.78746	 0.08277	 0.04120	 4.93302	-5.23329	 0.41408	 0.07240	-0.08625	
50	-90.16697	-88.52807	-2.38745	-0.13087	-2.58056	-2.19031	 0.00833	-2.39500	-29.82924	-29.05868	-0.85901	 0.87690	 0.71025	 0.06460	 0.03880	 4.85761	-5.10177	 0.37622	 0.07252	-0.09478	
51	-84.58182	-83.04304	-2.29909	-0.03525	-2.48979	-2.10802	 0.10018	-2.31108	-27.09199	-26.32560	-0.81266	 0.86980	 0.62659	 0.04638	 0.03671	 4.42728	-4.61262	 0.33392	 0.07136	-0.10178	
52	-79.01136	-77.57312	-2.19725	 0.05836	-2.38372	-2.01301	 0.18879	-2.21285	-24.39188	-23.63209	-0.76237	 0.85957	 0.53786	 0.02830	 0.03495	 3.90560	-4.03030	 0.28788	 0.06892	-0.10718	
53	-73.51113	-72.17283	-2.08342	 0.14896	-2.26402	-1.90671	 0.27320	-2.10172	-21.75622	-21.00536	-0.70957	 0.84673	 0.44540	 0.01053	 0.03356	 3.40514	-3.46827	 0.23885	 0.06523	-0.11092	
54	-68.27104	-67.02857	-1.96258	 0.23341	-2.13607	-1.79379	 0.35048	-1.98260	-19.27429	-18.53416	-0.65702	 0.83216	 0.35304	-0.00630	 0.03256	 2.97365	-2.97671	 0.18890	 0.06048	-0.11294	
55	-63.05174	-61.90534	-1.82979	 0.31538	-1.99474	-1.66970	 0.42402	-1.85063	-16.83141	-16.10399	-0.60302	 0.81549	 0.25702	-0.02295	 0.03192	 2.59294	-2.53497	 0.13603	 0.05449	-0.11334	
56	-58.03601	-56.98246	-1.68987	 0.39172	-1.84522	-1.53895	 0.49092	-1.71058	-14.51232	-13.79877	-0.55002	 0.79741	 0.16100	-0.03877	 0.03167	 2.26927	-2.15171	 0.08224	 0.04745	-0.11207	
57	-53.25754	-52.29291	-1.54452	 0.46170	-1.68940	-1.40317	 0.55053	-1.56419	-12.33010	-11.63088	-0.49885	 0.77820	 0.06612	-0.05364	 0.03182	 1.99341	-1.81835	 0.02820	 0.03946	-0.10916	
58	-48.74436	-47.86405	-1.39543	 0.52464	-1.52916	-1.26395	 0.60230	-1.41320	-10.29466	-9.60941	-0.45017	 0.75802	-0.02658	-0.06740	 0.03234	 1.75640	-1.52659	-0.02545	 0.03066	-0.10467	
59	-44.51893	-43.71775	-1.24426	 0.57998	-1.36637	-1.12287	 0.64581	-1.25937	-8.41302	-7.74049	-0.40444	 0.73695	-0.11611	-0.07993	 0.03322	 1.55067	-1.26939	-0.07810	 0.02117	-0.09870	
60	-40.59825	-39.87052	-1.09262	 0.62724	-1.20282	-0.98147	 0.68072	-1.10441	-6.68955	-6.02755	-0.36197	 0.71497	-0.20156	-0.09111	 0.03445	 1.37015	-1.04121	-0.12918	 0.01115	-0.09132	
